keywords,organization_name,website,mission_description,population_focus,time_commitment,cost,languages_courses,address,city,state,zip,locations,leadership_contact,title,email,phone_number,when_founded
"Youth learning, software/app, game development, animation",Alice,"http://www.alice.org/, www.cs.duke.edu/csed/alice/aliceInSchools","Alice (nonprofit) is an innovative 3D programming environment that makes it easy to create an animation for telling a story, playing an interactive game, or a video to share on the web. Alice is a freely available teaching tool designed to be a student's first exposure to object-oriented programming. It allows students to learn fundamental programming concepts in the context of creating animated movies and simple video games. In Alice, 3-D objects (e.g., people, animals, and vehicles) populate a virtual world and students create a program to animate the objects.","Middle school, high school",Self-paced,Free,beginning programming with 3D objects in a virtual world,"5000 Forbes Avenue, Carnegie Mellon University",Pittsburgh,PA,15143,N/A,"Wanda Dann, Carnegie Mellon",,wpdann@andrew.cmu.edu,,Alice 2 - 1999; Alice 3 - 2008
"Youth learning, programming, entrepreneurship, mentoring, black males, beta, black female founder",All Star Code,http://allstarcode.org/,"All Star Code is a new non-profit initiative that seeks to attract, prepare, and place high-potential, qualified young black men in the tech-career pipeline and help them achieve full-time employment at technology companies early in their careers. ASC will offer a six-week Summer Intensive Program in 2014, which will include a rigorous programming course and a comprehensive curriculum of entrepreneurial “soft skills” (leadership, innovation, team-work, etc.).  The All Stars will also receive ongoing mentorship and networking with leading technology companies over the course of 4-5 years.","Black male high school juniors, ages 14-17",,,,"601 West 26th Street, Suite 325-215",New York,NY,10001,"New York, NY",Christina Lewis Halpern,Founder,team@allstarcode.org,,2013
"Adult learning, bootcamps, in-person",Anyone Can Learn to Code,http://anyonecanlearntocode.com/,"Anyone Can Learn To Code, based in Chicago, can turn you into a web developer in 12 weeks- and you don't even have to quit your job. Graduates of this program will master Ruby, Rails, HTML, CSS, JavaScript, jQuery, and Git. In addition to these technologies, Anyone Can Learn to Code will focus on Agile, Test Driven Development, and Service Oriented Architecture (APIs). Students will also get help with the job search process, building a portfolio of projects for job interviews and being connected to recruiters and businesses. Offering a ""zero to sixty"" transformation, students are not required to have any previous programming experience, but applicants must demonstrate dedication and the ability to work hard.",Anyone,12 weeks,"$11,500","Ruby, Rails, HTML, CSS, JavaScript, jQuery, Git",,,,,"Chicago, IL; San Francisco, CA",,,hello@anyonecanlearntocode.com,,
"Adult learning, in-person, bootcamps, web development",App Academy,http://www.appacademy.io/,"App Academy is an intensive, full-time, 9-week web development class in San Francisco and New York City. Over twelve weeks, you'll learn all the skills needed to begin a career as a web developer. Through hands-on projects, you are trained to build modern Ruby on Rails and JavaScript web applications.

Programming experience isn't required.",No experience necessary,"9 weeks, 80-100 hours/week","$13,000 upfront tuition or $15,000 through a payment plan. All others only pay if get a job as a developer after the program. That fee is 18% of your first year salary, payable over the first 6 months after you start working. $5,000 refund through job placement program.","Ruby on Rails, JavaScript",,,,,"San Francisco, CA; New York, NY",Ned Ruggeri,"Founder, Instructor",contact@appacademy.io,(415) 935-3408,2012
"Youth learning, girls, camps, mobile",App Camp For Girls,http://www.appcamp4girls.com/,"App Camp For Girls is a place where girls can put their creative power to work concepting and building apps while learning more about the business of software and being inspired by women who are professional software developers. The inaugural program opened in August, 2013, in Portland, Oregon. The program has a current Indiegogo campaign to see if they can expand beyond Portland in 2014.",Girls 8-16,1 week,Camp tuition not yet finalized. Estimate it will be between $300 and $350 for the week.,,,,,,"Portland, OR",Jean MacDonald,,jean@appcamp4girls.com ,,2012
"Youth learning, in-person, mobile",App City,http://appcity.us/,"AppCity provides a place where young people can learn to code, collaborate, and publish their apps. We are now accepting applications to join our next class which starts October 15, 2013 from 4-6:30pm in El Segundo.",Ages 11-15,,,,2221 Park Place,El Segundo,CA,90245,"El Segundo, CA",,,app@appcity.us,,2012
"Adult learning, online, tool, mobile, teacher resources, K-12",App Inventor,http://www.appinventor.org/,"App Inventor provides the fastest way to build apps for Android phones and tablets. Even with no prior experience, you can learn to build apps within hours. Here, you'll learn from USF Professor David Wolber, who has been teaching beginners programming with App Inventor since its inception in 2009. With an online book and step-by-step video screencasts, Wolber starts with the basics then leads you through the development of successively more complex apps, teaching you programming concepts as you go.","No experience necessary, K-12",,Free,Android app development,,,,,,David Wolber,,wolber@usfca.edu,,2009
"Adult learning, in-person, apprenticeship, mentor, workshops, project-based","Apprentice.io, a program of Thoughtbot",apprentice.io,"Apprentice.io provides designers and developers with a top-notch apprenticeship and connects them with leading employers. Apprentices will work alongside designers and developers at Thoughtbot on real projects and will be assigned a mentor who is their primary instructor. Apprentices can take any of the thoughtbot workshops and bocoup training classes, at no charge. They will also work on special projects designed to give them additional time and training in the areas they most need.",Experience required. A qualified design apprentice will have experience with graphical design for the web or iOS as well as HTML and CSS. The well-qualified developer candidate will be at an intermediate level with Ruby on Rails.,3 months,Free w/$500/week stipend,"Ruby on Rails, jQuery, Backbone.js, HTML5, SCSS, Git, Unix, and Agile software development",,,,,"San Francisco, CA; Boston, MA",,,apply@apprentice.io,,
"Youth learning, girls, competitions, mobile",Apps to Empower,http://www.appstoempower.org/,"Apps to Empower is a contest that seeks to discover and showcase innovative tablet applications that help young women and girls become leaders, resolve conflicts, be mentored, find work, become entrepreneurs and realize their full potential through education.",Ages 18+,,,Android 2.2,,,,,,,,,,
"Adult learning, underresented, open source, pilot",Ascend Project,http://ascendproject.org/,"Ascend Project will be an open-source bootcamp that specifically targets participants who come from underemployed, LGBTQ, Latin@, and African American populations – aka: people who are terribly underrepresented in tech but also very much more so in Open Source. The program will launch its pilot in Portland in September, 2014.  Following Portland they’ll be reviewing, updating, improving, and then taking the next pilot to New Orleans in January of 2015.","participants who come from underemployed, LGBTQ, Latin@, and African American populations",6 weeks,"Attendees in the Ascend Project will benefit from taking this course in the following ways, which are intended to remove many barriers to participation in Open Source:

 a $50 per day honorarium will be provided to encourage regular attendance and help ensure participants can afford to focus on being present to learn & develop
laptops will be provided to use during the course and upon completion, graduates will get to keep theirs
food (breakfast and lunch) will be provided every day
where needed, childcare stipends are available to participants who need additional care in order to put in the time this course will request of them
transit passes for the whole 6 weeks",,,,,,"Portland, OR",Lukas Blakk,,,,2014
"Youth learning, girls, middle school, in-person, residential, robotics, AspireIT",Aspire IT: Bulldog Bytes,https://ssl2.msstate.edu/eng/summercamps/,"Bulldog Bytes is a four day residential program for young women who are enrolled in grades 7-9. The overall theme of the camp will be the risks of identity theft to teenagers. Girls will be introduced to technology through Scratch programming and use of the Finch robots. This will enable them to see the power of technology and its application. Techniques employed by persons who conduct identify theft will be discussed. Campers will brainstorm ways that teens expose themselves to identify theft and ways that they can protect themselves. Working in teams, participants will develop a communication tool for educating teens about identity theft risks and what they can do to prevent it.",Girls in grades 7-9,4 days,Application Fee: $40,"Scratch, robotics",,,,,"Mississippi State, MS",Dr. Sarah B. Lee,Mississippi State University,sblee@cse.msstate.edu,(662) 325-2756,
"Youth learning, girls, middle school, pilot",AspireIT Middle School (NCWIT) Outreach Program,https://www.ncwit.org/project/aspireit-middle-school-outreach-program,"The AspireIT middle school outreach program is a pilot initiative that matches Aspirations in Computing award recipients with participating Academic Alliance or K-12 Alliance members to create and run computing-related outreach programs for middle school girls — such as after-school programs, summer camps, clubs, or weekend conferences. The AspireIT program has awarded $102,491 to 24 pilot programs in its inaugural round! These programs will run in 15 states at more than 25 sites, reaching a diverse community of nearly 800 middle school girls with 25,000 hours of instruction in computing and technology. Each program brings together an Aspirations in Computing recipient (currently high school or college aged young women) and a K-12 or Academic Alliance member.",Middle school girls,,N/A. Award provided to Aspirations in Computing winners to run pilot programs.,,,,,,National,Carol Bowar; Ruthe Farmer,Aspire IT Middle School Outreach Program Manager; Director of Strategic Initiatives,"carol.bowar@ncwit.org, ruthe.farmer@ncwit.org",,
"Youth learning, girls, middle school, in-person, workshops, mentors, robotics, AspireIT","Aspiring Women Exploring Science, Math, and Engineering (AWESOME)",https://www.ncwit.org/programs-campaigns/aspirations-computing/aspireit-2013-programs,"Aspiring Women Exploring Science, Math, and Engineering (AWESOME) is a series of Saturday adventure workshops focused on applying programming skills to design, construct, and program LEGO Mindstorm robots for underwater applications. Glenbrook South High School will use high school mentors from its STEM Learning Community to encourage middle school girls to stay involved in STEM beyond their school-aged years. The program will culminate with a Women in STEM Breakfast where mentors in STEM fields will provide inspiration. ",Middle school girls,,,,,,,,"Des Plaines, IL",Gloria Liu; Roxann Marshburn,Oakton Community College,glorial@oakton.edu; rmarshbu@oakton.edu,(847) 635-1738,
"Adult learning, college-based",Barnard Codes,http://athenacenter.barnard.edu/barnardcodes,"Barnard students will be trained to develop websites and mobile apps, in order to provide these services, for hire, to the community. 

Once successfully through Phase I of our custom web design & development training (4 weeks), students will have the opportunity to join Barnard Codes, an agency that connects local businesses and organizations with students to help build or maintain their web sites.
Barnard Codes will be a student-run business, advised and funded through Entrepreneurs@Athena, a project of the Athena Center for Leadership Studies.
Because of the overwhelming response to this program, students interested in going through the training and joining the agency will be invited to apply (more info on this coming soon).
Positions on a student advisory board will also be open, for those students who would like to get involved in advising and helping provide creative input into the future of Barnard Codes.
NO CODING EXPERIENCE or computer science background will be required for participation and applications will be open to ALL Barnard students. ",Barnard College students,,,,,,,,,,,,,
"Youth learning, in-person, camps",Bay Area Summer Enrichment (BASE) Camp,http://www.sfbasecamp.com/,"BASE Camp is a summer program for youth to design, program, and play their own computer games! The curriculum takes advantage of the visual and interactive nature of making games so that students learn by experimenting. Students in their classes learn programming fundamentals in Python – a powerful but easy to learn language. ",Middle school,2 weeks,"$1,450",Python,562 North Britton Avenue,Sunnyvale,CA,94085,"Sunnyvale, CA",,,info@sfbasecamp.com,,
"Youth learning, in-person, high school, summer, camps, teacher development",Beowulf Boot Camp,https://www.cct.lsu.edu/events/beowulf-boot-camp-2013,"The Beowulf Boot Camp course offers students and teachers a unique opportunity to work with advanced research technology not usually available in a typical classroom setting. Students will work hands-on with a number of LSU professors as they learn how to build and use supercomputers. The program is open to Louisiana high school students, Baton Rouge Community College students, and Louisiana teachers.","Louisiana high school students, Baton Rouge Community College students, Louisiana teachers",,Free,Python,,Baton Rouge,LA,,"Baton Rouge, LA",,,kjones@cct.lsu.edu,(225) 578-0595,
"Youth learning, adult resources, curriculum",Berkeley Foundation for Opportunities in Information Technology (BFOIT) Introduction to Computer Programming,http://www.bfoit.org/itp/itp.html,"BFOIT provides a website for parents and teachers, and some students.  It is a walk-through of the basic concepts behind writing computer programs, with an emphasis on graphics and games.",,Self-paced,Free,"jLogo, Java",,,,,"Berkeley, CA",,,bfoitGuy@gmail.com,,
"Adult learning, in-person, bootcamps, project-based, Canada",Bitmaker Labs,http://bitmakerlabs.com,"Bitmaker Labs is a 9-week intensive training program in Toronto, Canada, that teaches classes in a modern lab setting. They take absolute beginners and teach them the skills necessary to be creative computer programmers.",No programming experience necessary.,"9 weeks, 40+ hours/week","$9,000 ","Ruby on Rails, Full-stack",20 Duncan Street,Toronto,Ontario M5H 3G6 CANADA,,"Toronto, Canada",Matt Gray,"CEO, Co-Founder",contact@bitmakerlabs.com,,2012
"Youth learning, summer, camps, workshops, web development, game development, chapter-based, Black founder, underrepresented",BlackGirlsCode,http://www.blackgirlscode.com/,"Through community outreach programs such as workshops and after school programs, Black Girls Code (nonprofit pending) introduces underprivileged girls to basic programming skills in languages like Scratch and Ruby on Rails. Their goal io increase the number of women of color in the digital space by empowering girls of color ages 7 to 17 to become innovators in STEM fields, leaders in their communities, and builders of their own futures through exposure to computer science and technology. They do Summer of CODE workshops in 7 cities currently.","Girls of color, ages 7-17",,,"Scratch, basic HTML and CSS; Robotics, web development, mobile app development, game development, design principles, entrepreneurship",,,,,"Primary locations (chapter-based): San Francisco, CA; Atlanta, GA. Trying to expand to Memphis, TN; Washington, DC; Detroit, MI; Chicago, IL; New Orleans, LA; Denver, CO; St. Louis, MO; New York, NY; Miami, FL",Kimberly Bryant,,future@blackgirlscode.com,,2011
"Adult learning, online, apprenticeship, web development, mentors",Bloc,http://bloc.io/,Bloc is a project and exercise oriented online web developer apprenticeship. Students have a personal mentor and a small-group cohort. You'll learn how to set up your own web development environment and learn the fundamentals of programming by learning the Ruby language.  You'll learn the basics of Ruby on Rails and front end development by making a real project. Your final project will be your own Ruby on Rails web app.,Various skill levels,12 weeks,"$4,999","Ruby on Rails, Environment setup, Command Line & Git, Wireframing, HTML, CSS Layout & Styling, Sinatra, ActiveRecord, MVC, CRUD & REST, Rails, Deployment, JavaScript & AJAX",,,,,N/A,,,10x@bloc.io,,2012
"Youth learning, curriculum, school-based, game development, standards-based",Bootstrap,www.BootstrapWorld.org,"Bootstrap (nonprofit) is a FREE curriculum for students ages 12-16, which teaches them to program their own videogames using purely algebraic and geometric concepts. Their mission is to use students' excitement and confidence around gaming to directly apply algebra to create something cool.

Bootstrap works with schools, districts and tech-educational programs across the country, reaching hundreds of students each semester. Bootstrap has been integrated into math and technology classrooms across the country, reaching thousands of students since 2006.","Middle school, high school, ages 12-16",Self-paced,Free,"Algebra, mathematics, CTE, computer science, programming",,,,,National,Emmanuel Schanzer,,schanzer@bootstrapworld.org,,2006
"Youth learning, software/app, video game",BotLogic,BotLogic.us,"BotLogic.us is an educational puzzle game that challenges kids and adults to tackle complex logic problems while teaching valuable programming concepts. Using simple commands (and eventually code), players program their bots to navigate through progressively challenging mazes. As their skills improve, players earn rewards by using the fewest number of commands and go head-to-head with friends in programming tournaments.",Youth,self-paced,Free,,,,,,,,,,,2013
"Adult learning, in-person",BrainStation,http://brainstation.it/,"BrainStation is a progressive technology school in Toronto that offers education for the next generation of creators. Their innovative platform is designed for individuals of all skill levels. They facilitate small class sizes through hands-on, project-based learning. BrainStation is an accelerated apprenticeship rather than traditional education. Their curriculum is created and taught by industry professionals that are passionate about education, technology, and empowering creative thinkers. BrainStation emphasizes four pillars of innovative education: blended learning, a flex model, an adaptive curriculum, and a flipped classroom. BrainStation is currently offering courses in Front-End Web Development, Back-End Web Development, Mobile Development, and has courses in Data Science and Digital Marketing coming soon.",,,"$3,500",,,,,,"Toronto, Canada",,,admissions@brainstation.it,,
"Youth learning, mentors, afterschool",Breakout Mentors,http://breakoutmentors.com/,"Breakout Mentors teaches computer programming to young Bay Area students, with a focus on making it fun. The organization offers a variety of services, all centered around providing a project-based, personalized education for students ages 8 to 17.  Breakout Mentors pairs each student to work 1-on-1 with an experienced mentor – the student is behind the mouse and keyboard at all times. The mentor is able to move at the student’s own pace, introducing new concepts as he or she is ready. It also allows room for the student’s individual creativity – the mentor helps bring the student’s ideas to life. The result is an engaged student that is having fun! The mentor typically meets in the student’s home for an hour and a half session once or twice a week.  Breakout Mentors occasionally sets up small classes for groups of friends that are interested in learning together.  Breakout Mentors teaches several after-school enrichment programs at Bay Area schools.",Bay Area students ages 8 to 17,,,,PO BOX 60921,Palo Alto,CA,94306,"Palo Alto, CA",Brian Skinner,Founder,brian@breakoutmentors.com,(650) 669-8789,
"Youth learning, girls, high school, in-person, camps",C-Tech2 (Computers & technology at Virginia Tech),http://www.eng.vt.edu/ctech2,"Virginia Tech’s College of Engineering offers C-Tech2 - Computers and Technology at Virginia Tech. A primary focus of the program is to help develop and sustain the interests of women in engineering and the sciences. The program allows you to explore applications of engineering, math, and science in a way that is fun and exciting.",Rising junior and senior high school girls,2 weeks,"$1,000 ",,,,,,"Blacksburg, VA",Susan Arnold Christian,Director,ctech2@vt.edu,(540) 231-3973,
"Youth learning, In-person, camps, competitions, afterschool, game development, animation, web development, entrepreneurship, workshops, events","Camp Tech, Inc.",http://www.camptechonline.com/,"Camp Tech aims to prepare its students to excel as young leaders of tomorrow by combining an exclusive game-based curriculum tailored specifically for children. They offer advanced technology programs, after-school programs, summer tech camps, and creative activities such as game-based learning and development, graphic arts, and web design, filmmaking, digital media, 3D Animation, Cyber Exploration, Young Entrepreneurship, Investing and S.T.E.M based fieldtrips and curriculum.",Youth,,,"Ame-based learning and development, graphic arts, and web design, filmmaking, diGital media, 3D Animation, Cyber Exploration, Young Entrepreneurship, Investing",,Streetsboro,OH,44241,"Streetsboro, OH",Candace Benson,,info@camptechonline.com; Cbenson@camptechonline.com,(216) 323-3466,2002
"Youth learning, pilot, middle school, underrepresented",CampCode (Level Playing Field Institute),http://lpfi.org/,CampCode is LPFI's computer science initiative in partnership with the YMCA (taking place at the West Oakland Middle School). This is a 2-week pilot program with 11 middle school scholars. ,Middle school students from underrepresented communities,2 weeks,,,,,,,"Oakland, CA",Sumaiya Talukdar,Director of Strategic Partnerships,sumaiya@lpfi.org,(415) 946-3030,2013
"Youth learning, in-person, entrepreneurship, underrepresented, camps, web development, mobile",CampInteractive,http://www.ciny.org/,"CampInteractive’s year-round programs introduce inner-city, at-risk youth to the creative power of technology. They use cutting-edge tech education tools to provide students with the skills and opportunities they need to succeed, and instill the leadership qualities necessary to achieve their potentials. ","Inner city, at-risk youth",,,"CSS, HTML, JavaScript, Mobile Apps (Android), Mobile Apps (iOS)",2876 Claflin Ave,Bronx,NY,10468,"Bronx, NY",,,media@campinteractive.org,(718) 708-4852,
"Youth learning, software/app, video game",CargoBot (iPad),http://twolivesleft.com/CargoBot/,CargoBot is an intro to programming game.,Ages 8+,Self-paced,,CargoBot,,,,,N/A,,,,,2012
"Youth learning, in-person, summer, open source",Catalyst Open Source Academy,http://catalyst.net.nz/academy,"The Catalyst Open Source Academy gives secondary school students a taste of real open source development through a combination of classroom sessions and hands-on project work. The aim is to get Academy students quickly to the point where they can usefully contribute to a real open source project. For example, previous Academy participants wrote unit tests for the Koha project, contributing to the overall quality of the popular open source library management system.",Secondary school students,,Free,Open source,,,,,New Zealand,,,academy@catalyst.net.nz,,2011
"Adult learning, youth learning, girls, women, network, events, workshops, mentors, internships, robotics, game development, web development, mobile",ChickTech,http://www.chicktech.org/,"ChickTech (nonprofit pending) is a multi-generational community of women and girls helping each other to become technology creators. ChickTech is dedicated to retaining women in the technology workforce and increasing the number of women and girls pursuing technology-based careers. Programs include ChickTech: High School, ChickTech: Career, Joint Program with CodeScouts, ChickTech: Mentors, and ChickTech: Internships. Currently fiscally sponsored by TechStart Education Foundation.",High school and adult women,,,Various,,Portland,OR,,"Portland, OR",,,info@chicktech.org,,2012
"Youth learning, in-person, camps, game design",Children's Creativity Museum: Game Design with Scratch Programming Camp,http://creativity.org/programs/camps/,"The Children's Creativity Museum's Game Design with Scratch Programming Campers will learn fundamental programming concepts while creating their own simple video games using Scratch, a kid-friendly programming language developed by M.I.T.",Ages 9-12,1 week,$350/week,Scratch,221 Fourth Street,San Francisco,CA,94103,"San Francisco, CA",,,info@creativity.org,(415) 820-3320,
"Youth learning, in-person, camps, game design, animation",Children's Creativity Museum: Tynker Programming Camp,http://creativity.org/programs/camps/,"The Children's Creativity Museum's Tynker Program Camps are one-week camps that teach kids (grades 3-8) how to create their very own computer games and animated stories, which they can share with their friends and family! ",Grades 3 - 8,1 week,$600/week,Tynker,221 Fourth Street,San Francisco,CA,94103,"San Francisco, CA",,,info@creativity.org,(415) 820-3320,
"Adult learning, in-person, bootcamps",Claim Academy,http://claimacademystl.com,A 12-week boot camp in Java and .NET that take you from novice to entry-level professional in 12 weeks. Expect to spend 60 hours per week getting through our intense courses.,,12 weeks; 60 hours per week,"$8,000",Java and .NET. Classes in Javascript and Quality Engineering coming soon.,515 Olive St #600,St. Louis,MO,63101,"St. Louis, MO",,,info@claimacademystl.com ,(314) 499-5888,2015
"Youth learning, in-person, summer, camps, robotics, game design, computer programming, LEGO, chapter-based",Classroom Antics,http://www.classroomantics.com/,"Classroom Antics seeks to inspire, excite, and enrich the lives of children in today’s technology world. They deliver educational hands-on programs that promote creativity and teamwork in the safest environment possible. Their camps include: Jr LEGO Robotics camp, Jr Video Game Design Camp, LEGO Robotics Camp, Computer Programming Camp, Stop Motion Animation Camp, and Video Game Design Camp.",Ages 7 - 13,1 week,$199+,"Robotics, game design, animation, computer programming",,,,,"Cincinnati, OH; Columbus, OH; Cleveland/Akron, OH",Toby Foote,,toby.foote@classroomantics.com,(800) 595-3776,2007
"Adult learning, in-person, workshops, events, advocacy, network, entrepreneurship, underrpresented",Coalition for Queens,http://www.queenstech.org/,"Coalition for Queens (nonprofit pending) fosters a tech entrepreneurial ecosystem in the borough of Queens through education, events, and advocacy. The group also informs the Queens and broader communities about the tech industry and the growing opportunities it presents. Their classes and workshops focus on expanding access to tech, increasing opportunity, and growing the talent pool in NYC, seeking to empower communities that are underserved in the tech sector. Tech events include gatherings like hackathons and conferences, that foster collaboration, knowledge exchange, and networking. 

Coalition for Queens works closely with community groups, elected officials, and other stakeholders to raise awareness about the growing tech community in Queens.","Underrepresented populations, immigrants","Access Code (iOS app development) bootcamp - 8 weeks, weekend classes",Access Code - $950; Full scholarships available for students from underrepresented communities,,42-65 Kissena Blvd #223,Flushing,NY,11355,"Queens, NY",Jukay Hsu; David Yang,Founder; Co-Founder,jukay@coalitionforqueens.org; david@coalitionforqueens.org,,2011
"Youth learning, online, in-person, camps, school-based, platform, web development, game development, mobile, teacher resources",Code Avengers,http://www.codeavengers.com/,"Interactive online courses that teach the basics of web development and computer programming, in a way that makes learning fun and effective. If you want to learn HTML5, CSS3 and JavaScript: Code Avengers is for you!",Ages 8-18,2-5 day coding camp; Self-paced,"School program: level 1 Free; Levels 2-3, $5 per student; Camp: $120","HTML5, CSS3; JavaScript",,,,,"Any school; camp in New Zealand & Moreno Valley, CA",,,question@codeavengers.com,,2011
